Region Name,Major Region,Sub-Region,Slice,Number of total cells,Dissection Region ID,Detail Region,Potential Overlap
MOB,OLF,MOB,1,2432,1C,"MOB,AOB,AON","TTv,DP"
AON,OLF,AON,2,2628,2E,"MOB,AON,TT,DP,EPd",
PIR-1,OLF,PIR,2,2387,2D,"PIR,AON",
PIR-2,OLF,PIR,3,2516,3E,"PIR,EPd",AI
PIR-3,OLF,PIR,4,2555,4F,"PIR,EPd","AI,CLA,OT"
PIR-4,OLF,PIR,5,2598,5G,"PIR,EPd","AI,CLA,OT"
PIR-5,OLF,PIR,6,2539,6D,"PIR,EPd,EPv","PAA,AIp"
ORB,Isocortex,ORB,1,2736,1B,"ORB,FRP","AI,PL"
PFC-1,Isocortex,PFC,2,2519,2A,"ACAd,PL,ILA",ORBm
PFC-2,Isocortex,PFC,3,2590,3A,"ACAd,PL,ILA","DP,ORBm"
ACA-1,Isocortex,ACA,4,2419,4A,"ACA,PL,ILA,IG","MOs,DP,TTd,SH"
ACA-2,Isocortex,ACA,5,2367,5A,"ACA,IG",MOs
ACA-3,Isocortex,ACA,6,2623,6A,"ACA,IG",MOs
AI,Isocortex,AI,3,2345,3D,"AI,CLA","ORBl,PIR"
MOp-1,Isocortex,MOp,2,2148,2C,MOp,"MOs,FRP"
MOp-2,Isocortex,MOp,3,2387,3C,MOp,"SSp,GU"
MOp-3,Isocortex,MOp,4,2768,4B,MOp,"SSp,MOs"
MOp-4,Isocortex,MOp,5,2319,5D,MOp,"MOs,SSp"
MOs-1,Isocortex,MOs,1,2385,1A,"MOs,FRP","PL,ACAd,MOp"
MOs-2,Isocortex,MOs,2,2381,2B,MOs,
MOs-3,Isocortex,MOs,3,2392,3B,MOs,ACAd
SSp-1,Isocortex,SSp,4,1961,4C,SSp,"SSs,GU,MOp"
SSp-2,Isocortex,SSp,5,1986,5B,SSp,"MOp,SSs"
SSp-3,Isocortex,SSp,6,2571,6B,SSp,"SSs,MOp"
SSp-4,Isocortex,SSp,7,2095,7B,SSp,"MOp,RSPagl,SSs"
SSp-5,Isocortex,SSp,8,2474,8B,SSp,"VISa,RSPagl,SSs"
SSs-1,Isocortex,SSs,5,2329,5C,SSs,"SSp,GU,VISC"
SSs-2,Isocortex,SSs,6,2471,6C,SSs,"VISC,GU"
CA-1,HPF,CA1-3,8,2585,8E,"CA1,CA2,CA3","DG,FC"
CA-2,HPF,CA1-3,9,2465,9H,"CA1,CA2,CA3","DG,FC"
CA-3,HPF,CA1-3,10,1695,10E,"CA1,CA2,CA3,SUB,ProS","PA,HATA"
CA-4,HPF,CA1-3,11,2437,11E,"CA1,CA2,CA3,POST,SUB,ProS","DG,HATA"
DG-1,HPF,DG,8,2290,8J,DG,"CA1,CA2,CA3,FC"
DG-2,HPF,DG,9,2516,9J,DG,"CA1,CA2,CA3,FC"
DG-3,HPF,DG,10,543,10F,"CA3,DG","SUB,ProS"
DG-4,HPF,DG,11,2454,11F,DG,"CA1,CA2,CA3,SUB,ProS"
CP-1,CNU,CP,4,2513,4D,CP,"ACB,CLA,SSp,AI"
CP-2,CNU,CP,5,2584,5E,CP,"ACB,BST"
ACB-1,CNU,ACB,3,2086,3F,ACB,"EPd,TT,AON,SI,OT"
ACB-2,CNU,ACB,4,1756,4E,ACB,"CP,SI,LSX"
ACB-3,CNU,ACB,5,2233,5F,ACB,"BST,SI,CP"
LSX-1,CNU,LSX,4,1967,4G,LSX,"MS,TTd,DP,ACB"
LSX-2,CNU,LSX,5,1234,5J,"LSX,SF,MSC","BST,SI,ACB"
PAL-1,CNU,PAL,4,2087,4H,"MS,NDB,SI","LSX,ACB,OT,LPO"
PAL-2,CNU,PAL,5,2616,5H,"BST,NDB,SI,MA","ACB,OT,MSC,PS,LPO"
