region_name,region_type,region_id,color
VISpm6b,allen_ccf,469,#08858C
ENTl,allen_ccf,918,#32B825
IMD,allen_ccf,59,#FF909F
PAR,allen_ccf,843,#72D569
RSPd6b,allen_ccf,330,#1AA698
SSp-bfd,allen_ccf,329,#188064
IVn,allen_ccf,911,#CCCCCC
ECU,allen_ccf,903,#FFA5D2
MBO,allen_ccf,331,#FF4C3E
ACAd,allen_ccf,39,#40A666
lfbs,allen_ccf,983,#CCCCCC
AVP,allen_ccf,263,#FF5547
ENTl6a,allen_ccf,28,#32B825
VISl6b,allen_ccf,121,#08858C
PERI1,allen_ccf,540,#0E9684
ccs,allen_ccf,986,#CCCCCC
LGd-ip,allen_ccf,496345672,#FF8084
ANcr1,allen_ccf,1056,#FFFC91
FS,allen_ccf,998,#80CDF8
OLF,allen_ccf,698,#9AD2BD
fr,allen_ccf,595,#CCCCCC
RSPagl5,allen_ccf,774,#1AA698
mtt,allen_ccf,690,#CCCCCC
TTv,allen_ccf,605,#62D09F
SSp-bfd,allen_ccf,329,#188064
HY,allen_ccf,1097,#E64438
och,allen_ccf,117,#CCCCCC
PALm,allen_ccf,826,#96A7D3
DEC,allen_ccf,936,#FFFC91
SS,allen_ccf,453,#188064
ATN,allen_ccf,239,#FF909F
PH,allen_ccf,946,#FF4C3E
VISp,allen_ccf,385,#08858C
SIM,allen_ccf,1007,#FFFC91
CNU,allen_ccf,623,#98D6F9
VISp,allen_ccf,385,#08858C
LGd-sh,allen_ccf,496345664,#FF8084
ECT,allen_ccf,895,#0D9F91
RSPv1,allen_ccf,542,#1AA698
AIv1,allen_ccf,704,#219866
PVZ,allen_ccf,157,#FF5D50
AUDd,allen_ccf,1011,#019399
ACAd,allen_ccf,39,#40A666
ILA,allen_ccf,44,#59B363
PAS,allen_ccf,859,#FFB3D9
BLAp,allen_ccf,311,#9DE79C
PL5,allen_ccf,363,#2FA850
VMPO,allen_ccf,576073699,#FF5547
ENTm,allen_ccf,926,#32B825
ORBl,allen_ccf,723,#248A5E
VISpm6a,allen_ccf,257,#08858C
Eth,allen_ccf,560581551,#FF909F
IAD,allen_ccf,1113,#FF909F
LSr,allen_ccf,258,#90CBED
VISam,allen_ccf,394,#08858C
PCN,allen_ccf,907,#FF909F
RSPd6a,allen_ccf,274,#1AA698
MBsta,allen_ccf,348,#FF90FF
VTA,allen_ccf,749,#FF90FF
SF,allen_ccf,310,#90CBED
VISl6a,allen_ccf,74,#08858C
FOTU,allen_ccf,944,#FFFC91
TMv,allen_ccf,1,#FF4C3E
ccg,allen_ccf,1108,#CCCCCC
AUDd5,allen_ccf,252,#019399
cbc,allen_ccf,744,#CCCCCC
AMBd,allen_ccf,939,#FFB3D9
ANcr2,allen_ccf,1064,#FFFC91
fp,allen_ccf,971,#CCCCCC
SSp-m,allen_ccf,345,#188064
VERM,allen_ccf,645,#FFFC91
DN,allen_ccf,846,#FFFDBC
GU,allen_ccf,1057,#009C75
FF,allen_ccf,804,#F2483B
AOBgl,allen_ccf,188,#9DF0D2
onl,allen_ccf,1016,#CCCCCC
ACAv1,allen_ccf,588,#40A666
cing,allen_ccf,940,#CCCCCC
HEM,allen_ccf,1073,#FFFC91
AUDp1,allen_ccf,735,#019399
CTX,allen_ccf,688,#B0FFB8
mlf,allen_ccf,62,#CCCCCC
SEZ,allen_ccf,98,#AAAAAA
AUDd4,allen_ccf,678,#019399
RT,allen_ccf,262,#FF909F
CLI,allen_ccf,591,#FFA6FF
SG,allen_ccf,318,#FFBA86
SubG,allen_ccf,321,#FF909F
AUDp,allen_ccf,1002,#019399
LGv,allen_ccf,178,#FF909F
MOs,allen_ccf,993,#1F9D5A
PAG,allen_ccf,795,#FF90FF
RSPd,allen_ccf,879,#1AA698
POL,allen_ccf,1029,#FF909F
SSp-ul,allen_ccf,369,#188064
PMd,allen_ccf,980,#FF4C3E
Pa5,allen_ccf,589508451,#FFA5D2
VISrl,allen_ccf,417,#009FAC
VPMpc,allen_ccf,741,#FF8084
ENT,allen_ccf,909,#32B825
PYR,allen_ccf,951,#FFFC91
LIN,allen_ccf,203,#FFB3D9
PO,allen_ccf,1020,#FF909F
st,allen_ccf,301,#CCCCCC
vtd,allen_ccf,397,#CCCCCC
MA3,allen_ccf,549009211,#FF90FF
COA,allen_ccf,631,#61E7B7
dhc,allen_ccf,443,#CCCCCC
TMd,allen_ccf,1126,#FF4C3E
ccb,allen_ccf,484682516,#CCCCCC
AMBv,allen_ccf,143,#FFB3D9
cbf,allen_ccf,960,#CCCCCC
ACAv5,allen_ccf,772,#40A666
von,allen_ccf,949,#CCCCCC
SSs,allen_ccf,378,#188064
AUDp5,allen_ccf,847,#019399
VIIn,allen_ccf,798,#CCCCCC
NLOT1,allen_ccf,260,#95E4C8
SCsg,allen_ccf,842,#FF7AFF
FC,allen_ccf,982,#7ED04B
MY-sat,allen_ccf,379,#FFC6E2
ACA,allen_ccf,31,#40A666
AUDp4,allen_ccf,816,#019399
AOB,allen_ccf,151,#9DF0D2
CUN,allen_ccf,616,#FF90FF
SSp-un,allen_ccf,182305689,#188064
AUDd1,allen_ccf,527,#019399
MMp,allen_ccf,606826655,#FF4C3E
rust,allen_ccf,863,#CCCCCC
cbp,allen_ccf,752,#CCCCCC
py,allen_ccf,190,#CCCCCC
VISa,allen_ccf,312782546,#009FAC
PN,allen_ccf,607344830,#FF90FF
nst,allen_ccf,102,#CCCCCC
pyd,allen_ccf,198,#CCCCCC
RCH,allen_ccf,173,#F2483B
LGd,allen_ccf,170,#FF8084
LSv,allen_ccf,266,#90CBED
BLAa,allen_ccf,303,#9DE79C
SPIV,allen_ccf,225,#FFB3D9
Pa4,allen_ccf,606826663,#FF90FF
BLAv,allen_ccf,451,#9DE79C
PMv,allen_ccf,1004,#FF4C3E
ORBl6b,allen_ccf,488,#248A5E
PL1,allen_ccf,171,#2FA850
AIv,allen_ccf,119,#219866
LSc,allen_ccf,250,#90CBED
LPO,allen_ccf,226,#F2483B
PVi,allen_ccf,118,#FF5D50
RSPv5,allen_ccf,687,#1AA698
AIv5,allen_ccf,800,#219866
ACAv,allen_ccf,48,#40A666
PL,allen_ccf,972,#2FA850
VISC,allen_ccf,677,#11AD83
SSs,allen_ccf,378,#188064
SSp,allen_ccf,322,#188064
In,allen_ccf,840,#CCCCCC
CUL,allen_ccf,928,#FFFC91
VISpm,allen_ccf,533,#08858C
NLOT2,allen_ccf,268,#95E4C8
KF,allen_ccf,123,#FFAE6F
RSPagl1,allen_ccf,671,#1AA698
em,allen_ccf,1092,#CCCCCC
mtg,allen_ccf,681,#CCCCCC
act,allen_ccf,908,#CCCCCC
GR,allen_ccf,1039,#FFA5D2
cett,allen_ccf,932,#CCCCCC
fa,allen_ccf,956,#CCCCCC
ACB,allen_ccf,56,#80CDF8
IPRL,allen_ccf,607344862,#FFA6FF
VCO,allen_ccf,101,#FFA5D2
PTLp,allen_ccf,22,#009FAC
TTd,allen_ccf,597,#62D09F
NLOT3,allen_ccf,1139,#95E4C8
VISpl,allen_ccf,425,#08858C
IO,allen_ccf,83,#FFB3D9
Isocortex,allen_ccf,315,#70FF71
PERI5,allen_ccf,692,#0E9684
MMd,allen_ccf,606826659,#FF4C3E
AUDv,allen_ccf,1018,#019399
RE,allen_ccf,181,#FF909F
CEAc,allen_ccf,544,#80C0E2
sV,allen_ccf,229,#CCCCCC
pm,allen_ccf,753,#CCCCCC
RR,allen_ccf,246,#FF90FF
bic,allen_ccf,482,#CCCCCC
PVH,allen_ccf,38,#FF5D50
AUDv,allen_ccf,1018,#019399
PAA,allen_ccf,788,#59DAAB
SPFm,allen_ccf,414,#FF8084
VISpor,allen_ccf,312782628,#08858C
ORBl6a,allen_ccf,440,#248A5E
CENT3,allen_ccf,984,#FFFC91
ENTm5,allen_ccf,727,#32B825
ENTl1,allen_ccf,1121,#32B825
PRP,allen_ccf,169,#FFB3D9
FRP6b,allen_ccf,526322264,#268F45
PST,allen_ccf,356,#F2483B
MOp5,allen_ccf,648,#1F9D5A
tb,allen_ccf,841,#CCCCCC
SLC,allen_ccf,350,#FFC395
uf,allen_ccf,850,#CCCCCC
TU,allen_ccf,614,#F2483B
ACVII,allen_ccf,576,#FFB3D9
VISpl,allen_ccf,425,#08858C
SSp-un6a,allen_ccf,182305709,#188064
AUDpo,allen_ccf,1027,#019399
ACAd5,allen_ccf,1015,#40A666
