Cluster Level	Parent	UniqueName	Signature mCH Gene (Neuron)
L1-CellClass	-	Exc	Slc17a7
L1-CellClass	-	Inh	Gad1
L1-CellClass	-	NonN	
L2-Majortype	Exc	IT-L23	Prex1
L2-Majortype	Exc	IT-L4	Cadps2
L2-Majortype	Exc	IT-L5	Sulf2
L2-Majortype	Exc	IT-L6	Xkr7
L2-Majortype	Exc	ET-L5	Bcl6
L2-Majortype	Exc	CT-L6	Tle4
L2-Majortype	Exc	NP-L6	Tshz2
L2-Majortype	Exc	L6b	Galnt10
L2-Majortype	Exc	EP	Npsr1
L2-Majortype	Exc	CLA	B3gat2
L2-Majortype	Exc	OLF-Exc	Ntng1
L2-Majortype	Exc	Gfra1	Gfra1
L2-Majortype	Exc	IG-CA2	Cacng5
L2-Majortype	Exc	DG-po	Ptpro
L2-Majortype	Exc	CA3	Rerg
L2-Majortype	Exc	CA3-St18	St18
L2-Majortype	Exc	CA1	Mpped1
L2-Majortype	Inh	MGE-Pvalb	Pvalb
L2-Majortype	Inh	MGE-Sst	Grin3a
L2-Majortype	Inh	CGE-Vip	Vip
L2-Majortype	Inh	CGE-Lamp5	Lamp5
L2-Majortype	Inh	Unc5c	Unc5c
L2-Majortype	Inh	Chd7	Chd7
L2-Majortype	Inh	LSX-Inh	Clic4
L2-Majortype	Inh	PAL-Inh	
L2-Majortype	Inh	Foxp2	Foxp2
L2-Majortype	Inh	MSN-D1	Drd1
L2-Majortype	Inh	MSN-D2	Drd2
L2-Majortype	Inh	D1L-Fstl4	Fstl4
L2-Majortype	Inh	D1L-PAL	Sgcd
L2-Majortype	Exc	DG	Tenm2
L2-Majortype	NonN	ANP	
L2-Majortype	Inh	OLF	
L2-Majortype	NonN	ASC	
L2-Majortype	NonN	ODC	
L2-Majortype	NonN	OPC	
L2-Majortype	NonN	MGC	
L2-Majortype	NonN	PC	
L2-Majortype	NonN	EC	
L2-Majortype	NonN	VLMC	
L2-Majortype	NonN	VLMC-Pia	
L3-Subtype	CA1	CA1 Ak5	Ak5
L3-Subtype	CA1	CA1 Chrm3	Chrm3
L3-Subtype	CA1	CA1 Kif26a	Kif26a
L3-Subtype	CA1	CA1 Lingo2	Lingo2
L3-Subtype	CA1	CA1 Ptprg	Ptprg
L3-Subtype	CA3	CA3 Cadm2	Cadm2
L3-Subtype	CA3	CA3 Efnb2	Efnb2
L3-Subtype	CA3-St18	CA3-St18 Epha5	Epha5
L3-Subtype	CA3-St18	CA3-St18 Nuak1	Nuak1
L3-Subtype	CA3-St18	CA3-St18 Tead1	Tead1
L3-Subtype	CLA	CLA Bcl11a	Bcl11a
L3-Subtype	CLA	CLA Cdh8	Cdh8
L3-Subtype	CLA	CLA Nrp2	Nrp2
L3-Subtype	CT-L6	CT-L6 Hcrtr2	Hcrtr2
L3-Subtype	CT-L6	CT-L6 Il1rap	Il1rap
L3-Subtype	CT-L6	CT-L6 Map4	Map4
L3-Subtype	CT-L6	CT-L6 Megf9	Megf9
L3-Subtype	DG	DG dg-all	dg-all
L3-Subtype	DG-po	DG-po Bcl11a	Bcl11a
L3-Subtype	DG-po	DG-po Calb2	Calb2
L3-Subtype	DG-po	DG-po Kctd8	Kctd8
L3-Subtype	EP	EP Adcy8	Adcy8
L3-Subtype	EP	EP Rgs8	Rgs8
L3-Subtype	EP	EP Tspan5	Tspan5
L3-Subtype	Gfra1	Gfra1 Gfra1	Gfra1
L3-Subtype	IG-CA2	IG-CA2 Chrm3	Chrm3
L3-Subtype	IG-CA2	IG-CA2 Peak1	Peak1
L3-Subtype	IG-CA2	IG-CA2 Xpr1	Xpr1
L3-Subtype	IT-L23	IT-L23 Cux1	Cux1
L3-Subtype	IT-L23	IT-L23 Foxp1	Foxp1
L3-Subtype	IT-L23	IT-L23 Ptprt	Ptprt
L3-Subtype	IT-L23	IT-L23 Tenm2	Tenm2
L3-Subtype	IT-L4	IT-L4 Astn2	Astn2
L3-Subtype	IT-L4	IT-L4 Shc3	Shc3
L3-Subtype	IT-L5	IT-L5 Cdh8	Cdh8
L3-Subtype	IT-L5	IT-L5 Etv1	Etv1
L3-Subtype	IT-L5	IT-L5 Grik3	Grik3
L3-Subtype	IT-L6	IT-L6 Cadps2	Cadps2
L3-Subtype	IT-L6	IT-L6 Fstl4	Fstl4
L3-Subtype	IT-L6	IT-L6 Man1c1	Man1c1
L3-Subtype	IT-L6	IT-L6 Oxr1	Oxr1
L3-Subtype	L6b	L6b Adcy8	Adcy8
L3-Subtype	L6b	L6b Kcnk2	Kcnk2
L3-Subtype	L6b	L6b Nrp2	Nrp2
L3-Subtype	L6b	L6b Pkhd1	Pkhd1
L3-Subtype	NP-L6	NP-L6 Boc	Boc
L3-Subtype	NP-L6	NP-L6 Cntnap4	Cntnap4
L3-Subtype	NP-L6	NP-L6 Cntnap5a	Cntnap5a
L3-Subtype	NP-L6	NP-L6 Cyp7b1	Cyp7b1
L3-Subtype	NP-L6	NP-L6 Kcnab1	Kcnab1
L3-Subtype	NP-L6	NP-L6 Olfml2b	Olfml2b
