id,gene_symbol,gene_name,entrez_gene_id,homologene_group_id
149630,0610005G16Rik*,RIKEN cDNA 0610005G16 gene (non-RefSeq),,
149631,0610005I03Rik*,RIKEN cDNA 0610005I03 gene (non-RefSeq),,
149632,0610006F12Rik*,RIKEN cDNA 0610006F12 gene (non-RefSeq),,
37334,0610007P14Rik,RIKEN cDNA 0610007P14 gene,58520,38284
149633,0610008A24Rik*,RIKEN cDNA 0610008A24 gene (non-RefSeq),,
41893,0610009B22Rik,RIKEN cDNA 0610009B22 gene,66050,
149634,0610009I12Rik*,RIKEN cDNA 0610009I12 gene (non-RefSeq),,
42681,0610009L18Rik,RIKEN cDNA 0610009L18 gene,66838,
42682,0610009O20Rik,RIKEN cDNA 0610009O20 gene,66839,32232
47516,0610010F05Rik,RIKEN cDNA 0610010F05 gene,71675,19038
68622,0610010K14Rik,RIKEN cDNA 0610010K14 gene,104457,12273
44189,0610011F06Rik,RIKEN cDNA 0610011F06 gene,68347,16917
70429,0610012G03Rik,RIKEN cDNA 0610012G03 gene,106264,
54527,0610025J13Rik,RIKEN cDNA 0610025J13 gene,78687,
44206,0610030E20Rik,RIKEN cDNA 0610030E20 gene,68364,19243
49939,0610037L13Rik,RIKEN cDNA 0610037L13 gene,74098,41206
43515,0610040B10Rik,RIKEN cDNA 0610040B10 gene,67672,
52102,0610040J01Rik,RIKEN cDNA 0610040J01 gene,76261,49537
44276,1010001N08Rik,RIKEN cDNA 1010001N08 gene,68434,
41960,1110001J03Rik,RIKEN cDNA 1110001J03 gene,66117,41627
44413,1110002L01Rik,RIKEN cDNA 1110002L01 gene,100043040,
43844,1110004E09Rik,RIKEN cDNA 1110004E09 gene,68001,10941
35652,1110004F10Rik,RIKEN cDNA 1110004F10 gene,56372,8606
41966,1110006O24Rik,RIKEN cDNA 1110006O24 gene,66123,
44322,1110007C09Rik,RIKEN cDNA 1110007C09 gene,68480,12269
44342,1110008E08Rik,RIKEN cDNA 1110008E08 gene,68500,
43231,1110008F13Rik,RIKEN cDNA 1110008F13 gene,67388,10315
41975,1110008L16Rik,RIKEN cDNA 1110008L16 gene,66132,45935
49578,1110008P14Rik,RIKEN cDNA 1110008P14 gene,73737,41552
44460,1110012L19Rik,RIKEN cDNA 1110012L19 gene,68618,12274
49562,1110017D15Rik,RIKEN cDNA 1110017D15 gene,73721,13074
44373,1110020A21Rik,RIKEN cDNA 1110020A21 gene,68531,
44426,1110020C17Rik,RIKEN cDNA 1110020C17 gene,68584,
44563,1110032A03Rik,RIKEN cDNA 1110032A03 gene,68721,11242
49588,1110034G24Rik,RIKEN cDNA 1110034G24 gene,73747,51865
42028,1110037F02Rik,RIKEN cDNA 1110037F02 gene,66185,41043
78466,1110038F14Rik,RIKEN cDNA 1110038F14 gene,117171,11320
86699,1110051M20Rik,RIKEN cDNA 1110051M20 gene,228356,11471
44674,1110057K04Rik,RIKEN cDNA 1110057K04 gene,68832,41453
43845,1110058L19Rik,RIKEN cDNA 1110058L19 gene,68002,32661
42049,1110059E24Rik,RIKEN cDNA 1110059E24 gene,66206,11933
42045,1110059G10Rik,RIKEN cDNA 1110059G10 gene,66202,10791
44762,1110065P20Rik,RIKEN cDNA 1110065P20 gene,68920,
44703,1190002N15Rik,RIKEN cDNA 1190002N15 gene,68861,18315
44760,1190005I06Rik,RIKEN cDNA 1190005I06 gene,68918,18858
143425,1190007I07Rik,RIKEN cDNA 1190007I07 gene,544717,87608
108978,1190028D05Rik,RIKEN cDNA 1190028D05 gene,330767,
49960,1200007C13Rik,RIKEN cDNA 1200007C13 gene,74119,
42717,1200014J11Rik,RIKEN cDNA 1200014J11 gene,66874,10231
106137,1200016E24Rik,RIKEN cDNA 1200016E24 gene,319202,
47616,1300017J02Rik,RIKEN cDNA 1300017J02 gene,71775,826
42079,1500011B03Rik,RIKEN cDNA 1500011B03 gene,66236,
43728,1500011K16Rik,RIKEN cDNA 1500011K16 gene,67885,
44796,1500012K07Rik,RIKEN cDNA 1500012K07 gene,68954,
44836,1500015L24Rik,RIKEN cDNA 1500015L24 gene,68994,
54736,1500015O10Rik,RIKEN cDNA 1500015O10 gene,78896,11505
44844,1500026H17Rik,RIKEN cDNA 1500026H17 gene,69002,
46099,1500035N22Rik,RIKEN cDNA 1500035N22 gene,70258,
107244,1520401A03Rik,RIKEN cDNA 1520401A03 gene,320309,132430
45617,1600002D24Rik,RIKEN cDNA 1600002D24 gene,69776,
47857,1600002H07Rik,RIKEN cDNA 1600002H07 gene,72016,45943
45611,1600002K03Rik,RIKEN cDNA 1600002K03 gene,69770,78582
43755,1600012H06Rik,RIKEN cDNA 1600012H06 gene,67912,57051
47866,1600012P17Rik,RIKEN cDNA 1600012P17 gene,72025,
48085,1600014C10Rik,RIKEN cDNA 1600014C10 gene,72244,41744
48081,1600014C23Rik,RIKEN cDNA 1600014C23 gene,72240,
47837,1600014K23Rik,RIKEN cDNA 1600014K23 gene,71996,87397
47853,1600020E01Rik,RIKEN cDNA 1600020E01 gene,72012,
49093,1600022D10Rik,RIKEN cDNA 1600022D10 gene,73252,
47871,1600025M17Rik,RIKEN cDNA 1600025M17 gene,72030,
45638,1600029I14Rik,RIKEN cDNA 1600029I14 gene,69797,
86059,1600029O10Rik,RIKEN cDNA 1600029O10 gene,224133,
51275,1700001C02Rik,RIKEN cDNA 1700001C02 gene,75434,49920
51303,1700001C19Rik,RIKEN cDNA 1700001C19 gene,75462,129540
47667,1700001F09Rik,RIKEN cDNA 1700001F09 gene,71826,128452
43346,1700001G17Rik,RIKEN cDNA 1700001G17 gene,67503,
45124,1700001J03Rik,RIKEN cDNA 1700001J03 gene,69282,86127
42166,1700001K19Rik,RIKEN cDNA 1700001K19 gene,66323,19832
45161,1700001K23Rik,RIKEN cDNA 1700001K23 gene,69319,
45133,1700001L05Rik,RIKEN cDNA 1700001L05 gene,69291,
45157,1700001L19Rik,RIKEN cDNA 1700001L19 gene,69315,28246
49439,1700001O22Rik,RIKEN cDNA 1700001O22 gene,73598,18859
48056,1700001P01Rik,RIKEN cDNA 1700001P01 gene,72215,19140
47678,1700003E16Rik,RIKEN cDNA 1700003E16 gene,71837,52846
51321,1700003F12Rik,RIKEN cDNA 1700003F12 gene,75480,76810
121569,1700003H04Rik,RIKEN cDNA 1700003H04 gene,384775,
45171,1700003M02Rik,RIKEN cDNA 1700003M02 gene,69329,18713
47665,1700006A11Rik,RIKEN cDNA 1700006A11 gene,71824,123623
51278,1700006E09Rik,RIKEN cDNA 1700006E09 gene,75437,19137
107945,1700006J14Rik,RIKEN cDNA 1700006J14 gene,321010,
47672,1700007B14Rik,RIKEN cDNA 1700007B14 gene,71831,53050
51625,1700007G11Rik,RIKEN cDNA 1700007G11 gene,75784,51893
45160,1700007K09Rik,RIKEN cDNA 1700007K09 gene,69318,78032
45169,1700007K13Rik,RIKEN cDNA 1700007K13 gene,69327,35416
51294,1700008F21Rik,RIKEN cDNA 1700008F21 gene,75453,
42168,1700008H02Rik,RIKEN cDNA 1700008H02 gene,66325,
47682,1700008I05Rik,RIKEN cDNA 1700008I05 gene,71841,122220
45191,1700008O03Rik,RIKEN cDNA 1700008O03 gene,69349,19260
45189,1700008P02Rik,RIKEN cDNA 1700008P02 gene,69347,
51029,1700009J07Rik,RIKEN cDNA 1700009J07 gene,75188,
51312,1700009N14Rik,RIKEN cDNA 1700009N14 gene,75471,128450
51326,1700010B08Rik,RIKEN cDNA 1700010B08 gene,75485,
52227,1700010D01Rik,RIKEN cDNA 1700010D01 gene,76386,128639
51341,1700010H22Rik,RIKEN cDNA 1700010H22 gene,75500,
42774,1700010I14Rik,RIKEN cDNA 1700010I14 gene,66931,49841
158383,1700010L04Rik,RIKEN cDNA 1700010L04 gene,619808,
51469,1700010L13Rik,RIKEN cDNA 1700010L13 gene,75628,
42165,1700011A15Rik,RIKEN cDNA 1700011A15 gene,66322,11945
51308,1700011E24Rik,RIKEN cDNA 1700011E24 gene,75467,18339
42925,1700011H14Rik,RIKEN cDNA 1700011H14 gene,67082,49528
43530,1700011L22Rik,RIKEN cDNA 1700011L22 gene,67687,78034
51284,1700011M02Rik,RIKEN cDNA 1700011M02 gene,75443,86306
45166,1700012B07Rik,RIKEN cDNA 1700012B07 gene,69324,78000
45167,1700012B09Rik,RIKEN cDNA 1700012B09 gene,69325,75283
45206,1700012P22Rik,RIKEN cDNA 1700012P22 gene,69364,17541
52761,1700013D24Rik,RIKEN cDNA 1700013D24 gene,76921,19495
51345,1700013F07Rik,RIKEN cDNA 1700013F07 gene,75504,18986
45222,1700013G24Rik,RIKEN cDNA 1700013G24 gene,69380,124477
51355,1700013H16Rik,RIKEN cDNA 1700013H16 gene,75514,
149654,1700013J13Rik*,RIKEN cDNA 1700013J13 gene (non-RefSeq),,
50065,1700014D04Rik,RIKEN cDNA 1700014D04 gene,74224,
52765,1700015E13Rik,RIKEN cDNA 1700015E13 gene,76925,18799
120357,1700015F17Rik,RIKEN cDNA 1700015F17 gene,381716,
45270,1700016C15Rik,RIKEN cDNA 1700016C15 gene,69428,19111
52254,1700016D06Rik,RIKEN cDNA 1700016D06 gene,76413,87021
50059,1700016H13Rik,RIKEN cDNA 1700016H13 gene,74218,51637
50071,1700016K19Rik,RIKEN cDNA 1700016K19 gene,74230,52371
50052,1700017B05Rik,RIKEN cDNA 1700017B05 gene,74211,19283
45211,1700017D01Rik,RIKEN cDNA 1700017D01 gene,69369,
48068,1700017G19Rik,RIKEN cDNA 1700017G19 gene,100040882,
42448,1700017N19Rik,RIKEN cDNA 1700017N19 gene,66605,45135
47148,1700018A04Rik,RIKEN cDNA 1700018A04 gene,71307,
45233,1700018A14Rik,RIKEN cDNA 1700018A14 gene,69391,
52246,1700018B08Rik,RIKEN cDNA 1700018B08 gene,76405,81929
42175,1700018B24Rik,RIKEN cDNA 1700018B24 gene,66332,
51365,1700018C11Rik,RIKEN cDNA 1700018C11 gene,75524,87066
45239,1700019A02Rik,RIKEN cDNA 1700019A02 gene,69397,
52247,1700019B03Rik,RIKEN cDNA 1700019B03 gene,76406,52367
42923,1700019D03Rik,RIKEN cDNA 1700019D03 gene,67080,49994
51382,1700019G17Rik,RIKEN cDNA 1700019G17 gene,75541,118004
52253,1700019J19Rik,RIKEN cDNA 1700019J19 gene,76412,
86640,1700019L03Rik,RIKEN cDNA 1700019L03 gene,227736,53056
45265,1700019M22Rik,RIKEN cDNA 1700019M22 gene,69423,130758
43350,1700019N19Rik,RIKEN cDNA 1700019N19 gene,67507,12147
47704,1700019O17Rik,RIKEN cDNA 1700019O17 gene,71863,51874
51497,1700020A23Rik,RIKEN cDNA 1700020A23 gene,75656,50959
51396,1700020D05Rik,RIKEN cDNA 1700020D05 gene,75555,
42445,1700020I14Rik,RIKEN cDNA 1700020I14 gene,66602,
42173,1700020L24Rik,RIKEN cDNA 1700020L24 gene,66330,11949
43535,1700020N01Rik,RIKEN cDNA 1700020N01 gene,67692,
51350,1700020N15Rik,RIKEN cDNA 1700020N15 gene,75509,123427
52764,1700021A07Rik,RIKEN cDNA 1700021A07 gene,76924,
43694,1700021F05Rik,RIKEN cDNA 1700021F05 gene,67851,41137
48062,1700021F07Rik,RIKEN cDNA 1700021F07 gene,72221,82371
86053,1700021K19Rik,RIKEN cDNA 1700021K19 gene,100502698,15687
51362,1700021P04Rik,RIKEN cDNA 1700021P04 gene,75521,
48093,1700022A21Rik,RIKEN cDNA 1700022A21 gene,72252,
45263,1700022F17Rik,RIKEN cDNA 1700022F17 gene,69421,
43160,1700022I11Rik,RIKEN cDNA 1700022I11 gene,67317,52406
47709,1700023E05Rik,RIKEN cDNA 1700023E05 gene,71868,128474
45283,1700023F06Rik,RIKEN cDNA 1700023F06 gene,69441,132455
52260,1700023L04Rik,RIKEN cDNA 1700023L04 gene,76419,
51359,1700024B05Rik,RIKEN cDNA 1700024B05 gene,100503856,115686
42928,1700024G13Rik,RIKEN cDNA 1700024G13 gene,67085,28053
45224,1700024P04Rik,RIKEN cDNA 1700024P04 gene,69382,105972
88977,1700024P16Rik,RIKEN cDNA 1700024P16 gene,242594,52981
52250,1700025B11Rik,RIKEN cDNA 1700025B11 gene,76409,
45258,1700025F22Rik,RIKEN cDNA 1700025F22 gene,69416,
45241,1700025G04Rik,RIKEN cDNA 1700025G04 gene,69399,12776
51372,1700025H01Rik,RIKEN cDNA 1700025H01 gene,75531,
45825,1700025O08Rik,RIKEN cDNA 1700025O08 gene,69984,
51397,1700026D08Rik,RIKEN cDNA 1700026D08 gene,75556,12605
49096,1700026J12Rik,RIKEN cDNA 1700026J12 gene,73255,
45828,1700026L06Rik,RIKEN cDNA 1700026L06 gene,69987,10346
48112,1700026N04Rik,RIKEN cDNA 1700026N04 gene,72271,
149667,1700027I07Rik*,RIKEN cDNA 1700027I07 gene (non-RefSeq),,
45285,1700027J07Rik,RIKEN cDNA 1700027J07 gene,69443,
45844,1700028I16Rik,RIKEN cDNA 1700028I16 gene,70003,
45845,1700028J19Rik,RIKEN cDNA 1700028J19 gene,70004,
52262,1700028K03Rik,RIKEN cDNA 1700028K03 gene,76421,18810
43326,1700028P14Rik,RIKEN cDNA 1700028P14 gene,67483,49850
42322,1700029F12Rik,RIKEN cDNA 1700029F12 gene,66479,
42344,1700029H14Rik,RIKEN cDNA 1700029H14 gene,66501,41638
51482,1700029I15Rik,RIKEN cDNA 1700029I15 gene,75641,18833
45321,1700029J07Rik,RIKEN cDNA 1700029J07 gene,69479,45977
49778,1700029M20Rik,RIKEN cDNA 1700029M20 gene,73937,
42189,1700029P11Rik,RIKEN cDNA 1700029P11 gene,66346,32635
48118,1700030F18Rik,RIKEN cDNA 1700030F18 gene,72277,
45370,1700030J22Rik,RIKEN cDNA 1700030J22 gene,69528,51842
48095,1700030K09Rik,RIKEN cDNA 1700030K09 gene,72254,12975
49127,1700031A10Rik,RIKEN cDNA 1700031A10 gene,73286,
49141,1700031F05Rik,RIKEN cDNA 1700031F05 gene,73300,
62906,1700034H15Rik,RIKEN cDNA 1700034H15 gene,98736,
49138,1700034I23Rik,RIKEN cDNA 1700034I23 gene,73297,
49145,1700034J04Rik,RIKEN cDNA 1700034J04 gene,73304,
49185,1700034J05Rik,RIKEN cDNA 1700034J05 gene,73344,53485
52447,1700034O15Rik,RIKEN cDNA 1700034O15 gene,76606,81932
49139,1700036A12Rik,RIKEN cDNA 1700036A12 gene,100040447,
49102,1700037C18Rik,RIKEN cDNA 1700037C18 gene,73261,47480
43169,1700037H04Rik,RIKEN cDNA 1700037H04 gene,67326,41660
52443,1700040D17Rik,RIKEN cDNA 1700040D17 gene,76602,
49170,1700040F15Rik,RIKEN cDNA 1700040F15 gene,73329,86036
49175,1700040F17Rik,RIKEN cDNA 1700040F17 gene,73334,
49128,1700040L02Rik,RIKEN cDNA 1700040L02 gene,73287,12495
149673,1700041A03Rik*,RIKEN cDNA 1700041A03 gene (non-RefSeq),,
49140,1700041G16Rik,RIKEN cDNA 1700041G16 gene,73299,
49188,1700042B14Rik,RIKEN cDNA 1700042B14 gene,73347,79770
43166,1700042G07Rik,RIKEN cDNA 1700042G07 gene,67323,
45272,1700048O20Rik,RIKEN cDNA 1700048O20 gene,69430,
49271,1700049G17Rik,RIKEN cDNA 1700049G17 gene,73430,
49206,1700049J03Rik,RIKEN cDNA 1700049J03 gene,73365,
73109,1700049L16Rik,RIKEN cDNA 1700049L16 gene,108950,
43183,1700052I22Rik,RIKEN cDNA 1700052I22 gene,67340,
49272,1700052K11Rik,RIKEN cDNA 1700052K11 gene,73431,
49260,1700052N19Rik,RIKEN cDNA 1700052N19 gene,73419,41557
54297,1700054A03Rik,RIKEN cDNA 1700054A03 gene,78457,
49246,1700055D18Rik,RIKEN cDNA 1700055D18 gene,73405,
49299,1700055N04Rik,RIKEN cDNA 1700055N04 gene,73458,
49204,1700056E22Rik,RIKEN cDNA 1700056E22 gene,73363,
149676,1700057D05Rik*,RIKEN cDNA 1700057D05 gene (non-RefSeq),,
54299,1700057G04Rik,RIKEN cDNA 1700057G04 gene,78459,
54300,1700057H15Rik,RIKEN cDNA 1700057H15 gene,78460,
49240,1700060C20Rik,RIKEN cDNA 1700060C20 gene,73399,
54465,1700061G19Rik,RIKEN cDNA 1700061G19 gene,78625,28378
130229,1700061I17Rik,RIKEN cDNA 1700061I17 gene,433646,132501
149677,1700062G21Rik*,RIKEN cDNA 1700062G21 gene (non-RefSeq),,
50110,1700063H04Rik,RIKEN cDNA 1700063H04 gene,74269,
52451,1700063K16Rik,RIKEN cDNA 1700063K16 gene,76610,
49251,1700065D16Rik,RIKEN cDNA 1700065D16 gene,73410,
49250,1700065J11Rik,RIKEN cDNA 1700065J11 gene,73409,
49290,1700066B19Rik,RIKEN cDNA 1700066B19 gene,73449,128609
49308,1700066M21Rik,RIKEN cDNA 1700066M21 gene,73467,13624
49294,1700067K01Rik,RIKEN cDNA 1700067K01 gene,73453,85176
44067,1700067P10Rik,RIKEN cDNA 1700067P10 gene,68224,87035
52454,1700069B07Rik,RIKEN cDNA 1700069B07 gene,76613,
52452,1700071A11Rik,RIKEN cDNA 1700071A11 gene,76611,
49334,1700072H12Rik,RIKEN cDNA 1700072H12 gene,73493,
120417,1700073E17Rik,RIKEN cDNA 1700073E17 gene,381827,
49322,1700074P13Rik,RIKEN cDNA 1700074P13 gene,73481,49905
49373,1700080E11Rik,RIKEN cDNA 1700080E11 gene,73532,87061
50120,1700080O16Rik,RIKEN cDNA 1700080O16 gene,74279,78047
163406,1700084K02Rik,RIKEN cDNA 1700084K02 gene,668408,
49339,1700084P21Rik,RIKEN cDNA 1700084P21 gene,73498,
50123,1700086D15Rik,RIKEN cDNA 1700086D15 gene,74282,
50125,1700086L19Rik,RIKEN cDNA 1700086L19 gene,74284,
149685,1700087M12Rik*,RIKEN cDNA 1700087M12 gene (non-RefSeq),,
27404,1700088E04Rik,RIKEN cDNA 1700088E04 gene,27660,13062
50136,1700092C17Rik,RIKEN cDNA 1700092C17 gene,74295,
50137,1700093J21Rik,RIKEN cDNA 1700093J21 gene,74296,
43201,1700093K21Rik,RIKEN cDNA 1700093K21 gene,67358,49849
49386,1700094D03Rik,RIKEN cDNA 1700094D03 gene,73545,78671
149687,1700097I19Rik*,RIKEN cDNA 1700097I19 gene (non-RefSeq),,
108661,1700101E01Rik,RIKEN cDNA 1700101E01 gene,329375,45813
49430,1700101I19Rik,RIKEN cDNA 1700101I19 gene,73589,
76568,1700102P08Rik,RIKEN cDNA 1700102P08 gene,112418,14230
54476,1700104B16Rik,RIKEN cDNA 1700104B16 gene,100504592,
50138,1700106J16Rik,RIKEN cDNA 1700106J16 gene,74297,87544
49113,1700108F19Rik,RIKEN cDNA 1700108F19 gene,73272,
52876,1700109H08Rik,RIKEN cDNA 1700109H08 gene,77036,130776
49426,1700111E14Rik,RIKEN cDNA 1700111E14 gene,73585,
52474,1700112E06Rik,RIKEN cDNA 1700112E06 gene,76633,49975
49431,1700112H15Rik,RIKEN cDNA 1700112H15 gene,73590,
47025,1700112M01Rik,RIKEN cDNA 1700112M01 gene,71184,
52481,1700113H08Rik,RIKEN cDNA 1700113H08 gene,76640,45695
50152,1700113P08Rik,RIKEN cDNA 1700113P08 gene,74311,
44075,1700120K04Rik,RIKEN cDNA 1700120K04 gene,68232,
52492,1700122O11Rik,RIKEN cDNA 1700122O11 gene,76651,
153193,1700123I01Rik,RIKEN cDNA 1700123I01 gene,622554,78163
52506,1700123M08Rik,RIKEN cDNA 1700123M08 gene,100503636,
37278,1700123O20Rik,RIKEN cDNA 1700123O20 gene,58248,9921
49475,1700125H20Rik,RIKEN cDNA 1700125H20 gene,73634,18763
49459,1700128E19Rik,RIKEN cDNA 1700128E19 gene,73618,
52510,1700128F08Rik,RIKEN cDNA 1700128F08 gene,76669,
43775,1700129C05Rik,RIKEN cDNA 1700129C05 gene,67932,130749
42119,1810009A15Rik,RIKEN cDNA 1810009A15 gene,66276,84408
49467,1810009J06Rik,RIKEN cDNA 1810009J06 gene,73626,117995
44908,1810010H24Rik,RIKEN cDNA 1810010H24 gene,69066,45640
50010,1810010K12Rik,RIKEN cDNA 1810010K12 gene,74169,
44911,1810011H11Rik,RIKEN cDNA 1810011H11 gene,69069,78635
44910,1810011O10Rik,RIKEN cDNA 1810011O10 gene,69068,10590
44950,1810012K16Rik,RIKEN cDNA 1810012K16 gene,69108,
44884,1810013D15Rik,RIKEN cDNA 1810013D15 gene,69042,
44895,1810013L24Rik,RIKEN cDNA 1810013L24 gene,69053,105712
45008,1810018F18Rik,RIKEN cDNA 1810018F18 gene,69166,
45612,1810019D21Rik,RIKEN cDNA 1810019D21 gene,69771,
44968,1810022K09Rik,RIKEN cDNA 1810022K09 gene,69126,47794
108691,1810024B03Rik,RIKEN cDNA 1810024B03 gene,329509,
45012,1810026B05Rik,RIKEN cDNA 1810026B05 gene,69170,
45614,1810026J23Rik,RIKEN cDNA 1810026J23 gene,69773,34702
44997,1810030O07Rik,RIKEN cDNA 1810030O07 gene,69155,17013
42136,1810032O08Rik,RIKEN cDNA 1810032O08 gene,66293,
149698,1810033F07Rik*,RIKEN cDNA 1810033F07 gene (non-RefSeq),,
42346,1810034E14Rik,RIKEN cDNA 1810034E14 gene,66503,
43547,1810037I17Rik,RIKEN cDNA 1810037I17 gene,67704,104147
48142,1810041L15Rik,RIKEN cDNA 1810041L15 gene,72301,28255
43727,1810043G02Rik,RIKEN cDNA 1810043G02 gene,67884,3619
83981,1810043H04Rik,RIKEN cDNA 1810043H04 gene,208501,83602
45650,1810046K07Rik,RIKEN cDNA 1810046K07 gene,69809,18881
47897,1810055G02Rik,RIKEN cDNA 1810055G02 gene,72056,11174
48123,1810062G17Rik,RIKEN cDNA 1810062G17 gene,72282,
45703,1810064F22Rik,RIKEN cDNA 1810064F22 gene,69862,
45705,1810065E05Rik,RIKEN cDNA 1810065E05 gene,69864,87042
47886,2010001E11Rik,RIKEN cDNA 2010001E11 gene,72045,129931
45670,2010001K21Rik,RIKEN cDNA 2010001K21 gene,69829,
76569,2010002M12Rik,RIKEN cDNA 2010002M12 gene,112419,78213
45702,2010003K11Rik,RIKEN cDNA 2010003K11 gene,69861,52832
52610,2010005H15Rik,RIKEN cDNA 2010005H15 gene,76770,3819
45690,2010007H06Rik,RIKEN cDNA 2010007H06 gene,69849,
42282,2010012O05Rik,RIKEN cDNA 2010012O05 gene,66439,16941
87165,2010015L04Rik,RIKEN cDNA 2010015L04 gene,230985,
43558,2010106E10Rik,RIKEN cDNA 2010106E10 gene,67715,12179
46098,2010107E04Rik,RIKEN cDNA 2010107E04 gene,70257,129848
45735,2010107G23Rik,RIKEN cDNA 2010107G23 gene,69894,12338
51451,2010109A12Rik,RIKEN cDNA 2010109A12 gene,75610,
42881,2010109I03Rik,RIKEN cDNA 2010109I03 gene,67038,130745
47902,2010111I01Rik,RIKEN cDNA 2010111I01 gene,72061,66273
44197,2010204K13Rik,RIKEN cDNA 2010204K13 gene,68355,
47938,2010300C02Rik,RIKEN cDNA 2010300C02 gene,72097,130762
43216,2210010C04Rik,RIKEN cDNA 2210010C04 gene,67373,74448
45975,2210011C24Rik,RIKEN cDNA 2210011C24 gene,70134,18974
45964,2210013O21Rik,RIKEN cDNA 2210013O21 gene,70123,
52349,2210015D19Rik,RIKEN cDNA 2210015D19 gene,76508,
45994,2210016F16Rik,RIKEN cDNA 2210016F16 gene,70153,13005
48198,2210016L21Rik,RIKEN cDNA 2210016L21 gene,72357,11285
143815,2210017I01Rik,RIKEN cDNA 2210017I01 gene,545546,
87646,2210018M11Rik,RIKEN cDNA 2210018M11 gene,233545,32465
54194,2210407C18Rik,RIKEN cDNA 2210407C18 gene,78354,87212
48212,2210408I21Rik,RIKEN cDNA 2210408I21 gene,72371,89234
48222,2210409E12Rik,RIKEN cDNA 2210409E12 gene,72381,
46234,2210416O15Rik,RIKEN cDNA 2210416O15 gene,70393,
45384,2300002M23Rik,RIKEN cDNA 2300002M23 gene,69542,49368
45304,2300005B03Rik,RIKEN cDNA 2300005B03 gene,69462,104043
45320,2300009A05Rik,RIKEN cDNA 2300009A05 gene,69478,19058
52273,2310001H17Rik,RIKEN cDNA 2310001H17 gene,76432,
45359,2310001K24Rik,RIKEN cDNA 2310001K24 gene,69517,
47727,2310002L09Rik,RIKEN cDNA 2310002L09 gene,71886,36448
47726,2310003H01Rik,RIKEN cDNA 2310003H01 gene,71885,69394
50089,2310003L06Rik,RIKEN cDNA 2310003L06 gene,74248,
45931,2310005E17Rik,RIKEN cDNA 2310005E17 gene,70090,
47715,2310007B03Rik,RIKEN cDNA 2310007B03 gene,71874,11761
